SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.5252525,0.54545456,0.4949495
-59,0.46464646,0.6060606,0.57575756
-58,0.43434343,0.56565654,0.5151515
-57,0.4848485,0.5151515,0.5252525
-56,0.5151515,0.53535354,0.4848485
-55,0.4848485,0.5050505,0.4848485
-54,0.5050505,0.4949495,0.54545456
-53,0.44444445,0.4949495,0.45454547
-52,0.4848485,0.5252525,0.47474748
-51,0.45454547,0.53535354,0.4949495
-50,0.4848485,0.5050505,0.5151515
-49,0.5858586,0.53535354,0.41414142
-48,0.46464646,0.5050505,0.5151515
-47,0.5555556,0.5151515,0.57575756
-46,0.46464646,0.56565654,0.3939394
-45,0.56565654,0.43434343,0.4949495
-44,0.5555556,0.5252525,0.56565654
-43,0.4949495,0.4949495,0.45454547
-42,0.4949495,0.47474748,0.5252525
-41,0.5050505,0.43434343,0.4848485
-40,0.47474748,0.5050505,0.41414142
-39,0.42424244,0.42424244,0.54545456
-38,0.47474748,0.5555556,0.4848485
-37,0.5555556,0.4848485,0.45454547
-36,0.45454547,0.37373737,0.4848485
-35,0.56565654,0.4040404,0.56565654
-34,0.5151515,0.44444445,0.47474748
-33,0.5252525,0.5151515,0.47474748
-32,0.44444445,0.3838384,0.46464646
-31,0.44444445,0.4949495,0.3838384
-30,0.4040404,0.3939394,0.3838384
-29,0.47474748,0.53535354,0.4848485
-28,0.42424244,0.45454547,0.46464646
-27,0.42424244,0.43434343,0.42424244
-26,0.37373737,0.35353535,0.36363637
