SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.4994115,0.4986625,0.4977075
-59,0.4994305,0.4981235,0.4981545
-58,0.4986395,0.4978885,0.4981915
-57,0.4984075,0.4979865,0.4985575
-56,0.4980985,0.4966055,0.49765348
-55,0.4981325,0.4966675,0.4973155
-54,0.4984635,0.49676248,0.4978805
-53,0.4982435,0.4963215,0.4967365
-52,0.49669948,0.4956365,0.49639648
-51,0.49805748,0.4961935,0.4948715
-50,0.49711248,0.4946105,0.4955545
-49,0.4964165,0.4955675,0.4945665
-48,0.4969505,0.4932315,0.4937405
-47,0.4960275,0.4930925,0.49377048
-46,0.4946245,0.49331048,0.49268648
-45,0.4952715,0.4911765,0.4923675
-44,0.4940595,0.48959348,0.4901355
-43,0.4933035,0.4891735,0.49033248
-42,0.49257448,0.4886045,0.48839948
-41,0.49178448,0.4863045,0.4875145
-40,0.49080148,0.48379248,0.4856425
-39,0.4895165,0.48234147,0.48329848
-38,0.4874025,0.4803345,0.48162848
-37,0.4864325,0.4782875,0.4798225
-36,0.48408848,0.47473747,0.47698247
-35,0.48191848,0.47261447,0.47438747
-34,0.48053148,0.46893448,0.47150648
-33,0.47913447,0.46516246,0.46818748
-32,0.47620547,0.46094045,0.46413246
-31,0.47236747,0.45705846,0.46056446
-30,0.46964648,0.45099446,0.45528346
-29,0.46472147,0.44537944,0.45071545
-28,0.46106246,0.43898344,0.44431946
-27,0.45578346,0.43175244,0.43700042
-26,0.45250845,0.4226764,0.42987743
-25,0.44500846,0.4145654,0.42032042
-24,0.43896845,0.4035134,0.41161242
-23,0.43157542,0.39226338,0.4014374
-22,0.4232734,0.37916636,0.3884014
